term,estimate,std.error,statistic,p.value,n_obs,adj_r2,panel,gender
factor(occ_f)5,-0.32246253027406824,0.3227176809780906,-0.999209368686435,0.31810499284843546,672,0.22541533803878078,A,male
factor(occ_f)6,-0.1229259445900727,0.1005485689297951,-1.2225529005380662,0.22198925048304888,672,0.22541533803878078,A,male
factor(occ_f)7,-0.20281321832227056,0.11695748744922811,-1.7340763960093868,0.08342953775940214,672,0.22541533803878078,A,male
factor(occ_f)8,0.32431264370638113,0.24039297701270845,1.3490936704412801,0.1778270371173944,672,0.22541533803878078,A,male
factor(occ_f)9,0.06298151982748797,0.1664475750038296,0.3783865269652556,0.7052802786986113,672,0.22541533803878078,A,male
factor(occ_f)10,-0.25497171598819807,0.10947651423209319,-2.3290083519434233,0.020197099490737634,672,0.22541533803878078,A,male
factor(occ_f)11,-0.31145961045370085,0.10891078943395496,-2.8597681834137685,0.004390242425208959,672,0.22541533803878078,A,male
factor(occ_f)12,-0.9248620898282206,0.36221055725754414,-2.5533824768409827,0.01091990499331109,672,0.22541533803878078,A,male
factor(occ_f)13,-0.07303017340591918,0.258787858195003,-0.2822009267177023,0.7778889165586675,672,0.22541533803878078,A,male
factor(wu_f)2,-0.0113144990632683,0.08239825176630647,-0.1373147951652892,0.8908290614651202,672,0.22541533803878078,A,male
factor(wu_f)3,0.04144306834067651,0.10258132511502355,0.40400207634485863,0.686358334905891,672,0.22541533803878078,A,male
factor(wu_f)4,-0.41680120126524806,0.11700623322363313,-3.5622136512045395,3.9758981005738077e-4,672,0.22541533803878078,A,male
factor(wu_f)5,-0.27903558992252486,0.132588080847096,-2.1045299708675618,0.0357567840788216,672,0.22541533803878078,A,male
factor(wu_f)7,0.13510356354019287,0.09914464407779335,1.3626914978300244,0.17350230645366002,672,0.22541533803878078,A,male
factor(wu_f)8,0.14700319262059014,0.14432995272981808,1.0185217263652562,0.3088496785621968,672,0.22541533803878078,A,male
factor(wu_f)9,0.1082771543923114,0.29408314392446805,0.3681855170186877,0.7128676417984657,672,0.22541533803878078,A,male
calories,1.2836011538825063e-4,1.3401669732845338e-4,0.9577919613528502,0.33856198109958613,672,0.22541533803878078,A,male
carbs,-0.0012434011283409818,5.787895387262118e-4,-2.1482785108338924,0.03210013240856644,672,0.22541533803878078,A,male
fat,-0.001655205234777927,0.0013130249980890627,-1.2606045103382366,0.20795221656752708,672,0.22541533803878078,A,male
protein,0.005073838378023558,0.0015268081808299822,3.3231668795915077,9.454087706376649e-4,672,0.22541533803878078,A,male
diet_guide,0.19943084075468165,0.059647630152010654,3.3434830561823934,8.800334261594883e-4,672,0.22541533803878078,A,male
diet_hifat,0.040559809707442655,0.1011533125983182,0.4009736178241286,0.6885854591067311,672,0.22541533803878078,A,male
diet_hlthy,-0.3034800987079036,0.13945679759894086,-2.176158523162649,0.029941425288279158,672,0.22541533803878078,A,male
province_f21:cohort_f2,0.02434716394424975,0.21212487999888477,0.11477750249936619,0.9086607305867354,672,0.22541533803878078,A,male
province_f23:cohort_f2,-0.02533449909613634,0.23096795621842384,-0.10968837197562498,0.9126940104373371,672,0.22541533803878078,A,male
province_f32:cohort_f2,0.05647081649092216,0.2573149164059227,0.21946188460305813,0.8263665592026936,672,0.22541533803878078,A,male
province_f37:cohort_f2,-0.1840376631391821,0.25382623885698957,-0.7250537374226009,0.46870798773415556,672,0.22541533803878078,A,male
province_f41:cohort_f2,-0.2565600970862518,0.3821313968045791,-0.6713923515095409,0.5022347335337397,672,0.22541533803878078,A,male
province_f42:cohort_f2,0.1139463398719802,0.2579640763980099,0.4417139838346083,0.6588588618944322,672,0.22541533803878078,A,male
province_f43:cohort_f2,-0.29693764013205887,0.14501121911320713,-2.0476873579019155,0.0410351310270684,672,0.22541533803878078,A,male
province_f45:cohort_f2,0.20050894013386356,0.2341898967995542,0.8561810004360754,0.3922470309310454,672,0.22541533803878078,A,male
province_f52:cohort_f2,0.28676141965419044,0.21026789164380943,1.363790816621493,0.1731561458272899,672,0.22541533803878078,A,male
province_f21:cohort_f3,-0.03857183659361033,0.2190370325224974,-0.17609732997843003,0.860278212141199,672,0.22541533803878078,A,male
province_f23:cohort_f3,-0.04650624017917621,0.2503075611486224,-0.18579638571750018,0.8526686230376597,672,0.22541533803878078,A,male
province_f32:cohort_f3,0.11793025056203438,0.2756268675535757,0.42786195558062345,0.6689085526634253,672,0.22541533803878078,A,male
province_f37:cohort_f3,-0.4279050754615445,0.262259175554791,-1.631611456706295,0.10329769900734778,672,0.22541533803878078,A,male
province_f41:cohort_f3,-0.23788047977577004,0.3748833518741979,-0.6345453287976287,0.5259722171481217,672,0.22541533803878078,A,male
province_f42:cohort_f3,0.2575738299954915,0.3611543934498113,0.7131958925796257,0.47600797699441355,672,0.22541533803878078,A,male
province_f43:cohort_f3,-0.2253362187532436,0.17604713823123386,-1.2799766074996897,0.20105897519773885,672,0.22541533803878078,A,male
province_f45:cohort_f3,0.39198509441422663,0.2609514607834117,1.502137957907705,0.13359922125128665,672,0.22541533803878078,A,male
province_f52:cohort_f3,0.13963029941373628,0.20508450484453958,0.6808427556220319,0.4962394655280432,672,0.22541533803878078,A,male
province_f21:cohort_f4,0.20280358994710596,0.2969208466257014,0.6830224022726175,0.4948621649176921,672,0.22541533803878078,A,male
province_f23:cohort_f4,-0.2628109202265,0.26907960538150644,-0.9767032319446188,0.329118430147601,672,0.22541533803878078,A,male
province_f32:cohort_f4,-0.034071776005371764,0.3028222477829093,-0.11251411101669628,0.9104542471837287,672,0.22541533803878078,A,male
province_f37:cohort_f4,-0.6008398206782892,0.3099270517262409,-1.9386491670595185,0.05302306524726177,672,0.22541533803878078,A,male
province_f41:cohort_f4,-0.3224718385961198,0.4086867625359274,-0.7890440018051025,0.4304048588329129,672,0.22541533803878078,A,male
province_f42:cohort_f4,-0.06433711132287902,0.3255347686083679,-0.19763514538835417,0.843398952967783,672,0.22541533803878078,A,male
province_f43:cohort_f4,0.11406128230833083,0.26964613318714253,0.42300358977953106,0.6724475638296578,672,0.22541533803878078,A,male
province_f45:cohort_f4,0.33554926781857425,0.3077159330487265,1.0904513929262165,0.2759617681366659,672,0.22541533803878078,A,male
province_f52:cohort_f4,-0.12450890781398859,0.23962622071538622,-0.519596342346328,0.6035408156700115,672,0.22541533803878078,A,male
province_f21:cohort_f5,-0.4846706243052462,0.3672841856174994,-1.3196065697475918,0.1874808409934969,672,0.22541533803878078,A,male
province_f23:cohort_f5,-0.2656796207143214,0.33051028023045576,-0.8038467684849931,0.42181087731391664,672,0.22541533803878078,A,male
province_f32:cohort_f5,2.6563365816188066e-4,0.3664016626912372,7.249794015965679e-4,0.9994217964852777,672,0.22541533803878078,A,male
province_f37:cohort_f5,-0.5740863190761111,0.372502990556409,-1.5411589534317465,0.1238169866230171,672,0.22541533803878078,A,male
province_f41:cohort_f5,-0.33197947792562044,0.4561763348577502,-0.7277437529264683,0.4670606322626637,672,0.22541533803878078,A,male
province_f42:cohort_f5,0.2506033634007626,0.4607285484196949,0.5439284460672895,0.5866972401708075,672,0.22541533803878078,A,male
province_f43:cohort_f5,-0.32051290185375153,0.37259404251665995,-0.8602201465403739,0.39001889429308245,672,0.22541533803878078,A,male
