term,estimate,std.error,statistic,p.value,n_obs,adj_r2,panel,model,gender
province_f23,0.10414972557953399,0.07996858809103022,1.3023829489271186,0.19326445737093365,672,0.17014106863814893,A,4,male
province_f32,0.16580384361443773,0.07827968016232618,2.1180955679764577,0.03456042261529676,672,0.17014106863814893,A,4,male
province_f37,0.1015594635747926,0.08233923921257037,1.2334272765455423,0.2178793173551511,672,0.17014106863814893,A,4,male
province_f41,0.10251445302077664,0.08072450911127863,1.2699297171254471,0.2045815077294377,672,0.17014106863814893,A,4,male
province_f42,-0.015191859587979448,0.10492242636686061,-0.14479134837066393,0.8849222167316019,672,0.17014106863814893,A,4,male
province_f43,0.15030399424313146,0.08290529691105196,1.8129600863065565,0.07031680746319333,672,0.17014106863814893,A,4,male
province_f45,-0.16234065911089027,0.08229964274235393,-1.972556061016104,0.048985805377185894,672,0.17014106863814893,A,4,male
province_f52,0.10265095985588345,0.08436018441008429,1.216817632319124,0.22413216460156024,672,0.17014106863814893,A,4,male
age,0.004540123360131717,0.0034075697504531957,1.332364028506796,0.18322539885253544,672,0.17014106863814893,A,4,male
smoke,0.035174932516953236,0.04398697328742951,0.7996670352175708,0.42420706545472564,672,0.17014106863814893,A,4,male
drink,-0.0559054653556832,0.04872470463769459,-1.1473741251257048,0.25166534313840455,672,0.17014106863814893,A,4,male
factor(occ_f)2,0.031329134710362,0.1019617445295625,0.30726361984987927,0.7587449129672288,672,0.17014106863814893,A,4,male
factor(occ_f)3,0.04673133954022288,0.08994358723238748,0.5195627723795694,0.603552005299856,672,0.17014106863814893,A,4,male
factor(occ_f)4,-0.14243637665847653,0.07595823504442518,-1.8751933424357572,0.06123141740880626,672,0.17014106863814893,A,4,male
factor(occ_f)5,-0.4035476705363442,0.3059201147467482,-1.3191276123520537,0.1876087572826458,672,0.17014106863814893,A,4,male
factor(occ_f)6,-0.15259756197060165,0.09670807208681362,-1.5779195953117207,0.11508924498453416,672,0.17014106863814893,A,4,male
factor(occ_f)7,-0.24313555562507655,0.10704972395131541,-2.2712394450979705,0.023471178015265354,672,0.17014106863814893,A,4,male
factor(occ_f)8,0.22147312014246287,0.2169940010004342,1.0206416726793277,0.3078185073084903,672,0.17014106863814893,A,4,male
factor(occ_f)9,0.056121232602158844,0.11507538789812422,0.48769101392769365,0.6259394685013487,672,0.17014106863814893,A,4,male
factor(occ_f)10,-0.24295311561650776,0.10316831268253411,-2.3549199293790384,0.018834434073264253,672,0.17014106863814893,A,4,male
factor(occ_f)11,-0.3627814121152608,0.10420465200970296,-3.4814320197670314,5.334468671424992e-4,672,0.17014106863814893,A,4,male
factor(occ_f)12,-0.9416212362283278,0.33962088385279504,-2.7725657667049215,0.005727140070397719,672,0.17014106863814893,A,4,male
factor(occ_f)13,-0.1975883898213196,0.27409776766348004,-0.7208682927469375,0.4712596628837006,672,0.17014106863814893,A,4,male
factor(wu_f)2,-0.028654013194719,0.07739379869471168,-0.37023655225592295,0.7113314747793349,672,0.17014106863814893,A,4,male
factor(wu_f)3,-0.0017298637926813196,0.09255959210566315,-0.018689189886517226,0.9850950070170101,672,0.17014106863814893,A,4,male
factor(wu_f)4,-0.30450086278441374,0.10575240069958354,-2.8793754162558023,0.004120779927679236,672,0.17014106863814893,A,4,male
factor(wu_f)5,-0.24567815459726675,0.11599363094840358,-2.1180314176607644,0.034565876732058416,672,0.17014106863814893,A,4,male
factor(wu_f)7,0.2144039262063729,0.09579812216942114,2.238080677898829,0.025566644798130547,672,0.17014106863814893,A,4,male
factor(wu_f)8,0.15967623568146064,0.10214677402099814,1.5632039015606725,0.11851000291873136,672,0.17014106863814893,A,4,male
factor(wu_f)9,0.19693083865664515,0.3140008896653099,0.6271664990075396,0.5307787715493906,672,0.17014106863814893,A,4,male
calories,1.4253381054156274e-4,1.2973589243771083e-4,1.098645932620354,0.2723448972467626,672,0.17014106863814893,A,4,male
carbs,-0.0012989353512455474,5.511922749067921e-4,-2.356592082980844,0.018750611820797798,672,0.17014106863814893,A,4,male
fat,-0.001856297358862056,0.0012677721270072694,-1.4642200434269461,0.14363581416943721,672,0.17014106863814893,A,4,male
protein,0.0044950305737054596,0.0015127454904645214,2.971438752942613,0.0030777943007861477,672,0.17014106863814893,A,4,male
(Intercept),5.970811548928753,0.777331754602222,7.681162532700276,6.13872602922093e-14,672,0.1827643944140943,A,5,male
height,4.7692520939989917e-4,0.003954796379063149,0.12059412512987025,0.9040514037990033,672,0.1827643944140943,A,5,male
bmi_under,-0.08152196484196499,0.0526867349851232,-1.5472958205700884,0.12229973316462897,672,0.1827643944140943,A,5,male
bmi_over,-0.002215990528142602,0.04816687725628378,-0.04600652262242114,0.9633197940054565,672,0.1827643944140943,A,5,male
edu_years,0.03889825455680798,0.008853716488098906,4.393438010929613,1.3112309151004998e-5,672,0.1827643944140943,A,5,male
hlth_exc,0.15107087952361692,0.0982412162170465,1.53775457329287,0.1246163432077294,672,0.1827643944140943,A,5,male
hlth_good,0.13333989879680766,0.08175822218311589,1.6309050666263636,0.10341574639193431,672,0.1827643944140943,A,5,male
hlth_fair,0.11347184798228199,0.09180548213833431,1.23600296343197,0.21692327762746896,672,0.1827643944140943,A,5,male
married,0.03906680502413065,0.0883898671117601,0.44198284600580523,0.65865499955221,672,0.1827643944140943,A,5,male
divorced,-0.06812826779062839,0.12174124838500021,-0.5596153209730228,0.5759429856840051,672,0.1827643944140943,A,5,male
widowed,-0.10404603557575859,0.23389009881300094,-0.4448501073957181,0.6565825876643963,672,0.1827643944140943,A,5,male
separated,-0.3074714275398829,0.14603134856053943,-2.1055165933252757,0.035646008754423024,672,0.1827643944140943,A,5,male
province_f23,0.08599950770348745,0.07855363440874265,1.094787126665601,0.2740329778801995,672,0.1827643944140943,A,5,male
province_f32,0.1307238551735245,0.07830410915949503,1.6694379972736482,0.09553297030533663,672,0.1827643944140943,A,5,male
province_f37,0.09499740280622829,0.08270675276651372,1.1486051577240837,0.2511596388644905,672,0.1827643944140943,A,5,male
province_f41,0.10771432973092483,0.08287455987973646,1.2997273214751865,0.1941751425792291,672,0.1827643944140943,A,5,male
