term,estimate,std.error,statistic,p.value,n_obs,adj_r2,panel,model,gender
factor(occ_f)4,-0.23276688970857315,0.0956998469398085,-2.432259790916641,0.015413974811614342,471,0.19745087475071743,A,4,female
factor(occ_f)6,-0.1872849669072839,0.15810638921069262,-1.1845502755597557,0.2368526729648062,471,0.19745087475071743,A,4,female
factor(occ_f)7,-0.2849410992725,0.1277635033945273,-2.230222964320383,0.02625043631809594,471,0.19745087475071743,A,4,female
factor(occ_f)8,0.5649186787550198,0.19830018900318555,2.848805548773051,0.004600031457965313,471,0.19745087475071743,A,4,female
factor(occ_f)11,-0.4688596604947807,0.104523655250385,-4.48567991017568,9.350115316642037e-6,471,0.19745087475071743,A,4,female
factor(occ_f)12,-0.43607905015333376,0.40809875969990295,-1.0685625471491416,0.28586913123039037,471,0.19745087475071743,A,4,female
factor(occ_f)13,0.16633670011157964,0.29957222469933503,0.555247404122739,0.5790155288233858,471,0.19745087475071743,A,4,female
factor(wu_f)2,0.25099835548795457,0.13373731247025308,1.876801252034907,0.06122542590170068,471,0.19745087475071743,A,4,female
factor(wu_f)3,0.12415705141962441,0.14290251510619925,0.8688234166302532,0.38543065227261697,471,0.19745087475071743,A,4,female
factor(wu_f)4,-0.11988433354945557,0.16991495926279188,-0.7055549085824837,0.4808487978276341,471,0.19745087475071743,A,4,female
factor(wu_f)5,-0.10298925665900702,0.1623359639590186,-0.634420458334214,0.5261454103223642,471,0.19745087475071743,A,4,female
factor(wu_f)7,0.10200409204720598,0.1486140800449876,0.6863689632659832,0.4928521331953106,471,0.19745087475071743,A,4,female
factor(wu_f)8,0.25528218217660614,0.16662170439246307,1.5321064149920767,0.12623496869459536,471,0.19745087475071743,A,4,female
factor(wu_f)9,0.09613370173707574,0.250381217819514,0.38394933363721084,0.7012066681235327,471,0.19745087475071743,A,4,female
calories,-1.3778098563183458e-4,2.592030668003972e-4,-0.5315561553055801,0.5953092058954164,471,0.19745087475071743,A,4,female
carbs,7.780596115699832e-5,0.001143088290831302,0.06806644926824904,0.9457645245326498,471,0.19745087475071743,A,4,female
fat,3.3625658286811803e-4,0.0022358296629405253,0.15039454411114622,0.8805241957119149,471,0.19745087475071743,A,4,female
protein,0.00430718260792949,0.0026244232579716066,1.6411920580442019,0.10149214691858163,471,0.19745087475071743,A,4,female
(Intercept),3.712165406232275,0.8370235369198816,4.434959403761184,1.1741894309787283e-5,471,0.19995808764356426,A,5,female
height,0.014365113925768898,0.0050033217995059855,2.871115331255981,0.004294746736131459,471,0.19995808764356426,A,5,female
bmi_under,0.03396295913757038,0.06093081056324131,0.5574020569169935,0.577546206147576,471,0.19995808764356426,A,5,female
