term,estimate,std.error,statistic,p.value,n_obs,adj_r2,panel,gender
province_f32:cohort_f3,-0.025662046663469593,0.2522325199671679,-0.10173964351151041,0.9190149592820274,471,0.21756950588554358,A,female
province_f37:cohort_f3,-1.040157972742774,0.8156449231904199,-1.2752583178893147,0.2029673532354105,471,0.21756950588554358,A,female
province_f41:cohort_f3,0.6165113589963935,0.29307573324905883,2.103590604932397,0.03604596428291479,471,0.21756950588554358,A,female
province_f42:cohort_f3,-0.08267345985097184,0.27160345974428907,-0.3043903046331139,0.760990851598758,471,0.21756950588554358,A,female
province_f43:cohort_f3,0.32877360229937713,0.20433053629884965,1.6090282355962675,0.10840906275954802,471,0.21756950588554358,A,female
province_f45:cohort_f3,-0.20764030064162067,0.2533644950783496,-0.8195319576147031,0.4129771852633626,471,0.21756950588554358,A,female
province_f52:cohort_f3,0.31963251196181364,0.2645141629209161,1.2083757952022278,0.227625652336162,471,0.21756950588554358,A,female
province_f21:cohort_f4,0.41243490251711346,0.22720332008192318,1.8152679387273079,0.07024095048798916,471,0.21756950588554358,A,female
province_f23:cohort_f4,0.06961458018440303,0.16714111403887355,0.4165018319084084,0.677269054417748,471,0.21756950588554358,A,female
province_f32:cohort_f4,0.19099420902485476,0.24394755393039277,0.7829314373012833,0.43413651399037667,471,0.21756950588554358,A,female
province_f37:cohort_f4,-0.8350785152470299,0.8299399324903287,-1.0061915116450444,0.3149394278256166,471,0.21756950588554358,A,female
province_f41:cohort_f4,0.82205447190471,0.2976784108365833,2.7615522052621873,0.006021202559623047,471,0.21756950588554358,A,female
province_f42:cohort_f4,-0.020525074646710224,0.27139751646293164,-0.07562734882105528,0.9397538651713865,471,0.21756950588554358,A,female
province_f43:cohort_f4,0.8224419153445693,0.27154371816395595,3.0287642848286604,0.0026168193357520952,471,0.21756950588554358,A,female
province_f45:cohort_f4,-0.018017761210048933,0.27722958891546823,-0.0649922011591008,0.9482130887544429,471,0.21756950588554358,A,female
province_f52:cohort_f4,0.2906845173616523,0.23812401797813132,1.2207274168721107,0.22291743957064128,471,0.21756950588554358,A,female
province_f21:cohort_f5,0.6187791941734372,0.33404722411517823,1.8523704120351692,0.0647184763485742,471,0.21756950588554358,A,female
province_f23:cohort_f5,-0.031071801576790938,0.264987946788035,-0.11725741473684992,0.9067156679222768,471,0.21756950588554358,A,female
province_f32:cohort_f5,0.325614331088401,0.30832284832867163,1.0560823917314641,0.29157605600983444,471,0.21756950588554358,A,female
province_f37:cohort_f5,-0.7703523823737448,0.8552876401600765,-0.9006939258815488,0.36829989059540724,471,0.21756950588554358,A,female
province_f41:cohort_f5,0.731540038186743,0.39691311391301637,1.8430734902527313,0.0660673385147558,471,0.21756950588554358,A,female
province_f42:cohort_f5,0.16645877599568482,0.34733325674017884,0.47924802121728177,0.6320274075381318,471,0.21756950588554358,A,female
province_f43:cohort_f5,1.0650311613975483,0.28055499553267366,3.7961582518801165,1.700295636080294e-4,471,0.21756950588554358,A,female
province_f45:cohort_f5,0.07307779581521072,0.3185689523851381,0.2293939672026242,0.8186814565151886,471,0.21756950588554358,A,female
province_f52:cohort_f5,0.6929150976167806,0.2942681644852487,2.3547062891729005,0.019025941316512057,471,0.21756950588554358,A,female
(Intercept),1.8002737797120472,1.0426275451199736,1.7266700732569773,0.08500483411391951,471,0.21452837586608253,B,female
height,0.021907820083925774,0.0052661941428588065,4.160085915866538,3.9020039204967075e-5,471,0.21452837586608253,B,female
weight,-0.005466266290405838,0.003795838981692071,-1.440068010463695,0.15063625650963036,471,0.21452837586608253,B,female
consu,1.6849705654688059,2.3790085798601934,0.7082658632394786,0.47919580719211896,471,0.21452837586608253,B,female
edu_years,0.029207445685918654,0.01202097058801017,2.429707773767489,0.015553608123619908,471,0.21452837586608253,B,female
hlth_exc,0.2117958441392729,0.13062165600967318,1.6214451003713226,0.10571611113318845,471,0.21452837586608253,B,female
