term,estimate,std.error,statistic,p.value,panel,model,gender,n_obs
province_f45,0.1126666038441173,0.1962717922787208,0.5740336017522181,0.5659450632355193,A,3,female,965
province_f52,0.026289111505689147,0.19285950652614828,0.13631224085977228,0.8915744474017439,A,3,female,965
age,-0.008128430691047895,0.008111268059137589,-1.002115899978299,0.31628761947143846,A,3,female,965
smoke,0.35258332544788934,0.4588552985728511,0.7683976332942153,0.4422509860189053,A,3,female,965
drink,0.17057786474175443,0.14409459009636977,1.183790901710278,0.23649584467001897,A,3,female,965
child_u6,-0.2262702514220284,0.14495769245606938,-1.5609399376345718,0.11853792301413472,A,3,female,965
calories,-5.63596377310289e-5,9.496708607082139e-4,-0.05934649578381176,0.9526761280700582,A,3,female,965
carbs,0.0010964133395955377,0.003788501590338383,0.2894055376383273,0.7722710578085898,A,3,female,965
fat,0.001110760449447447,0.008539414627037717,0.13007454233812799,0.8965074512522865,A,3,female,965
protein,0.00112111568592793,0.005394834547159383,0.20781280243677658,0.8353751359399257,A,3,female,965
(Intercept),0.025706636437840623,1.5679644138280227,0.016394910631345603,0.9869193399326481,A,4,female,965
height,-0.00816499437620375,0.009397699720168698,-0.8688290346924578,0.3849406496255556,A,4,female,965
bmi_under,-0.12376308837717882,0.11582563997703503,-1.0685292859311424,0.2852818272535391,A,4,female,965
bmi_over,-0.3016775457089802,0.11066913553801663,-2.725941105823033,0.0064118437916871095,A,4,female,965
edu_years,0.08876806709756391,0.01542158804354738,5.7560911915751625,8.608389523541486e-9,A,4,female,965
hlth_exc,0.6426513416725095,0.26201029030900264,2.4527713812865772,0.014176040308277087,A,4,female,965
hlth_good,0.43510808337784257,0.23769510673039937,1.8305302509712775,0.06717068753379864,A,4,female,965
hlth_fair,0.435885586532873,0.24329685280080823,1.7915792231383316,0.07320039373860865,A,4,female,965
married,0.511353115340475,0.1849962161827514,2.764127428613604,0.0057075245115397275,A,4,female,965
divorced,0.5766470434605684,0.3219345855578682,1.7911932092083822,0.07326229557399545,A,4,female,965
widowed,0.8731637617958058,0.5208797088733127,1.6763251609176715,0.09367451911831892,A,4,female,965
separated,-0.5731390676053744,0.4978356274977623,-1.1512616533414948,0.2496246078400768,A,4,female,965
province_f23,0.026193711658783696,0.19711821061737836,0.13288326622255978,0.8942857011498597,A,4,female,965
province_f32,0.22655146518994693,0.1852033514384221,1.2232579131553816,0.2212322979379172,A,4,female,965
province_f37,0.23739051203918857,0.18815857745480943,1.2616512903654542,0.2070742914595939,A,4,female,965
province_f41,-0.5112141855591383,0.2024750400285452,-2.5248257043785087,0.011575568412038629,A,4,female,965
province_f42,-0.16426081580703084,0.19085540927750272,-0.8606558044587382,0.38942764110203926,A,4,female,965
province_f43,-0.5934288525801006,0.17296846693551712,-3.4308499294344306,6.01693369078478e-4,A,4,female,965
province_f45,0.16258196857231877,0.19762870638165767,0.822663729116067,0.41069924688201037,A,4,female,965
province_f52,0.03793083232177414,0.19561414186528864,0.19390639122551545,0.8462491792087526,A,4,female,965
age,-0.009328837689608599,0.008109678571877936,-1.1503338396121348,0.25000639829940163,A,4,female,965
smoke,0.41122038626237,0.47576059701473067,0.8643430936539658,0.38739944372874874,A,4,female,965
drink,0.15127706246626607,0.1444191557190578,1.0474861296139213,0.294875426074448,A,4,female,965
child_u6,-0.23648365389600937,0.1460671457595972,-1.6190064690195498,0.10544587124569416,A,4,female,965
calories,1.4460737275491298e-4,9.651938383173124e-4,0.1498221051711403,0.8809049687975001,A,4,female,965
carbs,4.893416748358237e-4,0.003844873379322779,0.12727120676260462,0.8987257486333301,A,4,female,965
fat,-7.681111936985232e-4,0.008667897715597648,-0.0886156273298343,0.9293873881338337,A,4,female,965
protein,-4.7610744527229953e-4,0.005518690231029843,-0.08627181909854235,0.9312503400355341,A,4,female,965
diet_guide,0.34340395134935886,0.1188812775656479,2.888629382029701,0.003869248155196484,A,4,female,965
diet_hifat,0.20944799851175486,0.21211537451491838,0.9874248813445821,0.3234343916998506,A,4,female,965
diet_hlthy,-0.485733267626955,0.37301654605416396,-1.3021761977186503,0.19285615993206257,A,4,female,965
(Intercept),-0.030296577726129616,1.57570981539697,-0.01922725709397004,0.9846598136029338,A,5,female,965
height,-0.009297125643621642,0.00945792084133202,-0.9829988852298608,0.325607987310433,A,5,female,965
bmi_under,-0.14282229879188518,0.1186929724625804,-1.2032919542638625,0.22886336146493663,A,5,female,965
bmi_over,0.2613360792704104,0.3129911548340579,0.8349631458721762,0.40373845906531364,A,5,female,965
edu_years,0.11255236213265839,0.019391723948818364,5.8041442024300665,6.469558113301415e-9,A,5,female,965
hlth_exc,0.6577472131595751,0.2512323811834016,2.6180829479915433,0.008842530761261904,A,5,female,965
hlth_good,0.436351134048039,0.2268603283177334,1.923435169488512,0.0544254210527196,A,5,female,965
hlth_fair,0.4332655710603354,0.23356639086906306,1.8549996403516096,0.06359627793534536,A,5,female,965
married,0.5532551985920284,0.1866954854025036,2.963409626104484,0.003042513887196413,A,5,female,965
divorced,0.6322232069858184,0.32767801701816135,1.9294037871047596,0.053680753937824954,A,5,female,965
widowed,0.8894484736127933,0.5143477283888237,1.7292746220518163,0.08375995639776554,A,5,female,965
separated,-0.5641089639826679,0.49012015250907515,-1.1509605575180317,0.2497484625054192,A,5,female,965
province_f23,0.006405712935755669,0.19928495131106308,0.03214348546447452,0.9743576249261415,A,5,female,965
province_f32,0.20701580786643167,0.1856668358255872,1.1149853819930415,0.26485668597331635,A,5,female,965
province_f37,0.21538014057272675,0.18651663413964886,1.1547503072110297,0.24819269189362062,A,5,female,965
province_f41,-0.5199586388828986,0.2032823079346017,-2.557815503797681,0.010533195941344001,A,5,female,965
province_f42,-0.19425880609222176,0.19014847132022836,-1.0216164492065318,0.30696246921640535,A,5,female,965
province_f43,-0.6076106396898918,0.17557852988867126,-3.460620384936349,5.389322041392694e-4,A,5,female,965
province_f45,0.17105698937491037,0.1987380178261981,0.8607159880426323,0.38939448528546045,A,5,female,965
province_f52,0.03948078023688207,0.20020762130823522,0.19719918741803708,0.8436716664769064,A,5,female,965
age,-0.010379021140034056,0.008103966849898375,-1.280733415162503,0.20028731862335034,A,5,female,965
smoke,0.4461347115080339,0.4932352191220649,0.9045070064180176,0.3657266208765587,A,5,female,965
drink,0.1365196561141455,0.14543860375859097,0.9386755138322851,0.3478973689409252,A,5,female,965
child_u6,-0.26051958365948347,0.14538504405754824,-1.7919283606390843,0.0731444423270828,A,5,female,965
calories,1.0713268435035867e-4,9.336148846988406e-4,0.11475040309036721,0.9086429618704298,A,5,female,965
carbs,5.882850567491315e-4,0.0037123046171628968,0.15846896131027208,0.8740872768797701,A,5,female,965
fat,-5.118441436518952e-4,0.008378935160037676,-0.06108701569777915,0.9512899098109464,A,5,female,965
protein,-1.127634449486557e-4,0.005424631955452372,-0.02078729872822351,0.9834153296978119,A,5,female,965
diet_guide,0.34998807305794377,0.12016489989132638,2.9125649284813013,0.003584736674092411,A,5,female,965
diet_hifat,0.21441120443960957,0.2166647149821285,0.989599088422382,0.32237011575190483,A,5,female,965
diet_hlthy,-0.4631822178152381,0.364781753962991,-1.2697516056744174,0.2041731240721563,A,5,female,965
bmi_over:edu_years,-0.05543876710675125,0.027999207555265453,-1.980012005601408,0.04770217967423574,A,5,female,965
(Intercept),-0.030296577726129616,1.57570981539697,-0.01922725709397004,0.9846598136029338,A,6,female,965
height,-0.009297125643621642,0.00945792084133202,-0.9829988852298608,0.325607987310433,A,6,female,965
bmi_under,-0.14282229879188518,0.1186929724625804,-1.2032919542638625,0.22886336146493663,A,6,female,965
bmi_over,0.2613360792704104,0.3129911548340579,0.8349631458721762,0.40373845906531364,A,6,female,965
edu_years,0.11255236213265839,0.019391723948818364,5.8041442024300665,6.469558113301415e-9,A,6,female,965
hlth_exc,0.6577472131595751,0.2512323811834016,2.6180829479915433,0.008842530761261904,A,6,female,965
hlth_good,0.436351134048039,0.2268603283177334,1.923435169488512,0.0544254210527196,A,6,female,965
hlth_fair,0.4332655710603354,0.23356639086906306,1.8549996403516096,0.06359627793534536,A,6,female,965
married,0.5532551985920284,0.1866954854025036,2.963409626104484,0.003042513887196413,A,6,female,965
