term,estimate,std.error,tau,panel,gender,n_obs
province_f41:cohort_f3,0.5320702822071848,0.42145031420757073,0.2,A,female,471
province_f42:cohort_f3,0.09868044110088493,0.26006928997015627,0.2,A,female,471
province_f43:cohort_f3,-0.09305099218291604,0.38097633539130177,0.2,A,female,471
province_f45:cohort_f3,-0.20101437449277573,0.30242297491887893,0.2,A,female,471
province_f52:cohort_f3,0.10555920325541672,0.2930890888860747,0.2,A,female,471
province_f21:cohort_f4,0.20855499301620908,0.3679170089198575,0.2,A,female,471
province_f23:cohort_f4,0.008601952037144894,0.25212811747442937,0.2,A,female,471
province_f32:cohort_f4,0.1721521459279893,0.33267009298921857,0.2,A,female,471
province_f37:cohort_f4,0.28468542740864566,1.0514827968474114,0.2,A,female,471
province_f41:cohort_f4,0.41286226085755195,0.39135623870007974,0.2,A,female,471
province_f42:cohort_f4,0.10251127422625944,0.26525498431120137,0.2,A,female,471
province_f43:cohort_f4,0.3628030094881793,0.4135527383560992,0.2,A,female,471
province_f45:cohort_f4,0.0018459338970715992,0.3317233349984285,0.2,A,female,471
province_f52:cohort_f4,0.16800529452449212,0.3131291025821719,0.2,A,female,471
province_f21:cohort_f5,0.5972100020062748,0.4502508406681463,0.2,A,female,471
province_f23:cohort_f5,-0.021681721389268695,0.4067204189566421,0.2,A,female,471
province_f32:cohort_f5,0.30661832622827506,0.3775050028791224,0.2,A,female,471
province_f37:cohort_f5,0.4110051114687765,1.039352676912053,0.2,A,female,471
province_f41:cohort_f5,0.1978411699781662,0.5459468480026374,0.2,A,female,471
province_f42:cohort_f5,0.32536944247221217,0.40784412893074756,0.2,A,female,471
province_f43:cohort_f5,0.7682689228464026,0.4334239994684811,0.2,A,female,471
province_f45:cohort_f5,0.2572622204979556,0.39045887953583763,0.2,A,female,471
province_f52:cohort_f5,0.6971777445902251,0.3950962172389758,0.2,A,female,471
(Intercept),3.471162137135005,1.230842522385425,0.3,A,female,471
height,0.013154061274039024,0.0057028099305467305,0.3,A,female,471
bmi_under,-0.02770262829314335,0.06844308462461328,0.3,A,female,471
bmi_over,-0.09344507561501483,0.06652048316606692,0.3,A,female,471
edu_years,0.022598733398683568,0.016776558560863294,0.3,A,female,471
hlth_exc,0.3358519662239868,0.18859774685883296,0.3,A,female,471
hlth_good,0.2978103376855884,0.1705947685755841,0.3,A,female,471
hlth_fair,0.2470145022659244,0.1776669876204169,0.3,A,female,471
married,-0.07153724303396,0.14863062779211197,0.3,A,female,471
divorced,0.005301814295200206,0.21615874182986336,0.3,A,female,471
widowed,0.032797843983379926,0.34989907618196564,0.3,A,female,471
separated,0.2334336554859498,0.43159889871136303,0.3,A,female,471
province_f23,0.2934165928506779,0.2612284291201609,0.3,A,female,471
province_f32,0.2662346419593361,0.2970574307283437,0.3,A,female,471
province_f37,-0.2136786270157407,1.4465788538402025,0.3,A,female,471
province_f41,-0.40616759504127437,0.3586282196233937,0.3,A,female,471
province_f42,0.009912020432333449,0.3701286627505368,0.3,A,female,471
province_f43,-0.14673337001589537,0.39518624727462554,0.3,A,female,471
province_f45,0.2139266952136241,0.33310138096555447,0.3,A,female,471
province_f52,0.022453754457848935,0.29119990598509404,0.3,A,female,471
age,0.015258061178451531,0.013977577077224959,0.3,A,female,471
smoke,0.14011901280416197,0.363226802133006,0.3,A,female,471
drink,0.1234251301605305,0.09689007543169245,0.3,A,female,471
factor(occ_f)2,-0.1764394037641922,0.10340306469629158,0.3,A,female,471
factor(occ_f)3,-0.07615523585231078,0.1929495661325685,0.3,A,female,471
factor(occ_f)4,-0.3119779877304741,0.13807683983988403,0.3,A,female,471
factor(occ_f)6,-0.31341720024641023,0.16454162434459646,0.3,A,female,471
factor(occ_f)7,-0.3406566198328907,0.1542888594810829,0.3,A,female,471
factor(occ_f)8,0.7529551753205654,0.4550236172897417,0.3,A,female,471
factor(occ_f)11,-0.4493040191515727,0.13845596746430566,0.3,A,female,471
factor(occ_f)12,-1.1907700930212957,0.6525754971069915,0.3,A,female,471
factor(occ_f)13,-0.1482305566318876,0.3031014157971154,0.3,A,female,471
factor(wu_f)2,0.1958347387900546,0.21098236289678307,0.3,A,female,471
factor(wu_f)3,0.07102308355380964,0.2288579985327144,0.3,A,female,471
factor(wu_f)4,-0.11807618108987224,0.2525819401103686,0.3,A,female,471
factor(wu_f)5,-0.13762999131479206,0.25165355176105686,0.3,A,female,471
factor(wu_f)7,-0.027476414823900383,0.21422793192396236,0.3,A,female,471
factor(wu_f)8,0.10295995766182131,0.26259598889773783,0.3,A,female,471
factor(wu_f)9,-0.099772374796205765,0.2620684081669459,0.3,A,female,471
